time,trajectory_mean_N10000,trajectory_variance_ddof1,trajectory_std_ddof1,trajectory_variance_se_plugin,mean_se_N10000,mean_se_extrapolated_N5000000,exact_mean,archive_mean_N5000000,variance_batch_a_N5000,variance_batch_b_N5000
0.32,0.6089560400613026,0.3145040979134193,0.5608066493127728,0.004359356177964639,0.005608066493127728,0.0002508003580194491,0.6065089198664813,0.6064629949586292,0.31217145703878674,0.3168845266007374
0.34,0.5896815292514508,0.3208450209411663,0.5664318325634307,0.004298225016765181,0.005664318325634306,0.00025331601644632196,0.5870899932819981,0.5870804157736524,0.3172359535694585,0.3245148407004828
0.36,0.5699533314441647,0.32836320511271605,0.5730298466159647,0.004285102064588151,0.005730298466159647,0.000256266738033915,0.5682104427396022,0.568080096364918,0.323267328754767,0.33352241022402807
0.38,0.5502353038630033,0.3333135844901781,0.5773331659364271,0.004205631750654173,0.005773331659364271,0.00025819124093980344,0.5498590951629565,0.5496493612712627,0.3291517975426599,0.3375420144948138
0.4,0.5322043453572541,0.3382421654201596,0.5815859054517738,0.004174711346593234,0.005815859054517738,0.00026009312386918637,0.5320248760579634,0.5317931397787272,0.3311598141032844,0.34538262357282584
0.42,0.515095501498814,0.3412017557191984,0.584124777525486,0.004117365182854666,0.005841247775254859,0.0002612285419777856,0.514696813161222,0.5145060383843247,0.3338862422669611,0.34857388376856663
0.44,0.5031392098234047,0.34053716260552436,0.583555620832774,0.004033542194467207,0.005835556208327741,0.00026097400736683503,0.4978640399144578,0.4975979920811012,0.33251372802493323,0.34861192691386467
0.46,0.48863039034734557,0.3412996197289051,0.5842085413008826,0.003973082530208478,0.005842085413008826,0.0002612660022769534,0.4815157987666029,0.48125802463471434,0.3360527996645742,0.3466049940662879
0.48,0.4744406356559193,0.34306005594625033,0.5857132881762632,0.003992692697370226,0.005857132881762632,0.0002619389455374097,0.4656414443053364,0.46546845492807953,0.33755453041872496,0.34862903685012686
0.5,0.4573151141500799,0.3447555989835288,0.5871589214033359,0.003979205814615572,0.005871589214033359,0.0002625854523706631,0.45023044622001707,0.4500243032903296,0.3404522894831719,0.3491263293266865
0.52,0.44208441812988314,0.3471205168377226,0.5891693447878315,0.004042346187685738,0.005891693447878314,0.00026348454104092053,0.4352723920980641,0.43506563439332274,0.34233767334070714,0.35197141414169897
0.54,0.4282500976665646,0.34897303497279836,0.5907393968348466,0.004081257653333119,0.005907393968348466,0.0002641866896619882,0.4207569900569592,0.4206358831787479,0.3424465924141976,0.3555615327057815
0.56,0.412803772400413,0.3517604073899326,0.5930939279658262,0.004164245932177027,0.0059309392796582615,0.00026523966799479014,0.40667407121413435,0.4064632144981154,0.3447796150155948,0.35879003117095437
0.58,0.3986156082373265,0.35257073579283216,0.5937766716475413,0.0042303821433484325,0.005937766716475413,0.0002655450002514949,0.3930135919971395,0.39280078516494205,0.3460644502611054,0.35913439727988433
0.6,0.38476864360039326,0.3529417026276816,0.5940889686130197,0.004315877506860877,0.005940889686130198,0.00026568466370029023,0.37976563629655113,0.37959403158399985,0.34807726859077004,0.3578761133865567
0.62,0.37087084583237073,0.35349084540771913,0.5945509611528007,0.004394506825550264,0.005945509611528007,0.0002658912730450998,0.36692041746419635,0.3667007108769827,0.34976411454391043,0.35728774956459114
0.64,0.35867118704966067,0.3548143960825838,0.5956629886794913,0.004546678299970211,0.005956629886794913,0.000266388586873606,0.35446828015932896,0.3543383141913379,0.35018672662194045,0.35949768957053635
0.66,0.3465715188258418,0.3557626875822611,0.5964584541963179,0.004762500415388518,0.005964584541963179,0.0002667443298674823,0.34239970204550385,0.3422542856546512,0.3546658332258676,0.3569243703078022
0.68,0.33679948793931336,0.3552611499569184,0.5960378762771024,0.004843106301227952,0.005960378762771024,0.000266556241704042,0.33070529534092785,0.330627593674984,0.3547161084056394,0.35586838491732203
0.7000000000000001,0.32499846734042714,0.35688748982453133,0.5974006108337447,0.005048497052548263,0.005974006108337447,0.0002671656751248301,0.31937580822517786,0.3194479109169104,0.3536612791842202,0.3601486137157033
